A,B,C,D
1.0,11.0,32.139999996423725,123.23
2.0,30.0,39.009999999329445,313.089999999404
3.0,5.0,46.280000011920926,63.199999998807904
4.0,14.0,53.29000000238418,153.3400000143051
5.0,31.0,60.29999999284744,323.10999999523165
6.0,8.0,67.36999998569489,93.07000000357628
7.0,19.0,74.26999999165535,203.26000000119208
8.0,31.0,81.32000000357628,323.16999999761583
9.0,12.0,88.05000000029803,133.1399999964237
10.0,20.0,95.01999999910593,213.21999999463557
11.0,15.0,102.18000000298024,162.98999999977647
12.0,1.0,109.35000000476838,23.15000000178814
13.0,18.0,116.08000000149012,193.21999999463557
14.0,10.0,123.05999999821186,113.29000000238419
15.0,3.0,130.01999999910592,43.16999999761581
16.0,25.0,136.99999999955295,263.2199999946356
17.0,11.0,144.29000000238418,123.12000000059605
18.0,32.0,151.05999999821185,333.089999999404
19.0,37.0,158.29999999284743,383.35999999523165
20.0,31.0,164.98999999977647,323.31000001311304
21.0,16.0,172.26999999165534,173.32999999403953
22.0,0.0,179.21999999463557,13.28000001192093
23.0,36.0,186.12000000059604,373.13999999642374
24.0,34.0,193.05999999821185,353.0700000035763
25.0,24.0,200.12000000059604,253.29000000238418
26.0,15.0,207.01999999910592,163.18000000298022
27.0,1.0,214.23999999046325,22.989999999776483
28.0,28.0,221.35999999523162,293.1300000059605
29.0,4.0,228.29999999284743,53.13000000596046
30.0,1.0,235.29999999284743,23.35999999523163
31.0,12.0,241.99999999955295,133.32000000357627
32.0,38.0,249.08999999940394,392.999999999553
33.0,2.0,256.25000001072885,32.99999999955296
34.0,0.0,263.2199999946356,13.290000002384186
35.0,33.0,270.3500000047684,343.23
36.0,6.0,277.3699999856949,73.13999999642373
37.0,5.0,284.10999999523165,63.21000000417232
38.0,12.0,291.0399999986589,133.25000001072883
39.0,38.0,298.0300000007451,393.28000001192095
40.0,21.0,305.18000000298025,223.310000013113
41.0,13.0,311.98,143.18999999344348
42.0,20.0,319.1999999988079,213.13000000596045
43.0,11.0,326.18000000298025,123.03000000074506
44.0,21.0,333.08000000149013,223.3400000143051
45.0,32.0,340.01999999910595,333.21000000417234
46.0,35.0,347.1300000059605,363.18000000298025
47.0,38.0,354.18000000298025,393.15000000178816
48.0,7.0,361.2900000023842,83.05999999821186
49.0,20.0,367.9899999997765,213.25000001072883
50.0,39.0,375.31000001311304,403.0300000007451
51.0,1.0,382.35999999523165,22.999999999552966
52.0,10.0,389.1300000059605,113.00999999932945
53.0,0.0,396.2600000011921,13.130000005960465
54.0,28.0,403.26999999165537,293.21000000417234
55.0,25.0,410.1899999934435,263.25000001072885
56.0,7.0,417.2900000023842,83.21000000417233
57.0,39.0,424.3200000035763,402.9899999997765
58.0,14.0,431.1999999988079,153.050000000298
59.0,12.0,438.16999999761583,133.0800000014901
60.0,24.0,445.31000001311304,253.310000013113
61.0,8.0,452.00999999932947,93.13999999642373
62.0,27.0,459.08000000149013,283.3699999856949
63.0,16.0,466.08000000149013,173.3400000143051
64.0,25.0,473.18000000298025,263.0999999973178
65.0,5.0,480.0300000007451,63.32999999403953
66.0,15.0,487.01999999910595,163.0800000014901
67.0,27.0,494.1999999988079,283.0999999973178
68.0,30.0,501.00999999932947,313.3200000035763
69.0,38.0,508.23,393.2600000011921
70.0,34.0,514.9899999997765,353.1999999988079
71.0,36.0,522.3500000047684,373.0700000035763
72.0,20.0,529.2100000041723,213.26000000119208
73.0,9.0,536.0099999993295,103.15000000178814
74.0,21.0,543.0399999986589,222.98999999977647
75.0,20.0,550.0800000014901,213.310000013113
76.0,36.0,557.1699999976158,373.1300000059605
77.0,16.0,563.999999999553,172.98999999977647
78.0,18.0,571.2500000107289,193.3400000143051
79.0,1.0,578.280000011921,23.199999998807908
80.0,9.0,586.0,103.32999999403954,586.0
81.0,0.0,592.1399999964237,13.039999998658896
82.0,31.0,599.1600000071526,323.35999999523165
83.0,20.0,606.1500000017882,213.35000000476836
84.0,12.0,613.0800000014901,133.07000000357627
85.0,17.0,620.310000013113,183.07000000357627
86.0,37.0,627.2999999928475,383.28000001192095
87.0,23.0,634.0399999986589,243.15000000178813
88.0,28.0,641.2399999904633,293.2600000011921
89.0,17.0,648.2900000023842,183.35999999523162
90.0,7.0,655.0099999993295,82.99999999955297
91.0,10.0,662.089999999404,113.29999999284745
92.0,24.0,669.1899999934435,253.1999999988079
93.0,26.0,676.2600000011921,273.35999999523165
94.0,34.0,683.0800000014901,353.1999999988079
95.0,33.0,689.999999999553,343.0700000035763
96.0,35.0,697.0300000007451,363.1600000071526
97.0,12.0,704.050000000298,133.32000000357627
98.0,15.0,711.0599999982119,163.16000000715255
99.0,24.0,718.2999999928475,253.35000000476836
100.0,28.0,725.0800000014901,293.29999999284746
