A,B,C,D
1.0,5.0,23.350000004768372,131.21999999463557
2.0,26.0,33.160000007152554,488.01999999910595
3.0,0.0,43.12000000059604,46.26000000119209
4.0,18.0,53.26999999165535,352.0399999986589
5.0,34.0,63.21000000417232,624.2900000023842
6.0,4.0,73.13000000596047,114.0999999973178
7.0,31.0,83.16000000715256,573.23
8.0,34.0,93.26999999165535,624.1899999934435
9.0,19.0,103.29000000238419,369.2900000023842
10.0,13.0,113.03000000074506,267.21000000417234
11.0,27.0,123.2600000011921,505.3200000035763
12.0,37.0,133.10999999523162,674.98
13.0,23.0,143.03000000074505,437.01999999910595
14.0,39.0,153.1699999976158,709.1300000059605
15.0,30.0,163.35999999523162,556.0700000035763
16.0,26.0,173.18000000298022,488.1999999988079
17.0,2.0,183.00999999932944,80.23
18.0,11.0,192.98,233.05999999821185
19.0,19.0,202.99999999955295,369.0399999986589
20.0,21.0,213.26000000119208,403.05000000029804
21.0,11.0,223.16000000715255,233.08999999940394
22.0,32.0,233.35000000476836,590.1300000059605
23.0,3.0,243.32000000357627,97.15000000178814
24.0,5.0,253.18999999344348,131.1999999988079
25.0,25.0,263.32999999403955,471.23
26.0,15.0,273.05000000029804,300.9899999997765
27.0,0.0,283.2399999904633,46.280000011920926
28.0,29.0,293.10999999523165,539.0800000014901
29.0,39.0,303.0599999982119,709.1600000071526
30.0,32.0,313.0700000035763,590.1699999976158
31.0,22.0,323.01999999910595,420.1600000071526
32.0,11.0,333.18000000298025,233.23999999046325
33.0,18.0,343.0399999986589,352.1300000059605
34.0,11.0,353.3699999856949,233.23
35.0,25.0,363.2900000023842,470.999999999553
36.0,33.0,373.32999999403955,607.3400000143051
37.0,16.0,383.3200000035763,318.21000000417234
38.0,30.0,393.0300000007451,556.1200000005961
39.0,33.0,403.089999999404,607.2500000107289
40.0,5.0,413.18000000298025,131.310000013113
41.0,17.0,423.35999999523165,335.0599999982119
42.0,23.0,433.05000000029804,437.29999999284746
43.0,1.0,443.1899999934435,63.26999999165535
44.0,7.0,453.2600000011921,165.15000000178813
45.0,18.0,463.28000001192095,352.08000000149013
46.0,22.0,473.2399999904633,420.0300000007451
47.0,31.0,483.3200000035763,573.310000013113
48.0,39.0,493.34000001430513,709.0300000007451
49.0,5.0,503.16999999761583,131.1399999964237
50.0,26.0,512.98,488.3500000047684
51.0,37.0,523.089999999404,675.3200000035763
52.0,25.0,533.2900000023842,471.3500000047684
53.0,37.0,543.2500000107289,675.3699999856949
54.0,21.0,553.3200000035763,403.1899999934435
55.0,14.0,563.0300000007451,283.9899999997765
56.0,14.0,573.3500000047684,284.2199999946356
57.0,5.0,583.0999999973178,131.15000000178813
58.0,37.0,593.1200000005961,675.3599999952316
59.0,12.0,603.3299999940396,250.29999999284743
60.0,16.0,613.3599999952316,317.999999999553
61.0,25.0,623.1699999976158,471.25000001072885
62.0,33.0,633.2999999928475,606.98
63.0,22.0,643.3200000035763,420.0700000035763
64.0,25.0,653.3299999940396,471.0399999986589
65.0,37.0,663.0300000007451,675.1500000017882
66.0,30.0,673.0399999986589,556.3599999952316
67.0,30.0,683.2900000023842,556.050000000298
68.0,1.0,693.2699999916554,63.23
69.0,18.0,703.310000013113,352.00999999932947
70.0,36.0,713.3400000143051,658.2100000041723
71.0,0.0,723.2199999946356,46.16999999761581
72.0,34.0,733.2999999928475,623.98
73.0,39.0,743.2199999946356,709.310000013113
74.0,9.0,753.280000011921,199.35999999523162
75.0,6.0,763.2600000011921,148.32000000357627
76.0,26.0,773.0800000014901,488.28000001192095
77.0,5.0,783.1600000071526,131.310000013113
78.0,33.0,793.1899999934435,607.2999999928475
79.0,8.0,803.0700000035763,181.99999999955295
80.0,21.0,813.1899999934435,403.10999999523165
81.0,11.0,823.3699999856949,233.07000000357627
82.0,23.0,833.23,437.29999999284746
83.0,1.0,843.0800000014901,63.18000000298023
84.0,12.0,853.3400000143051,250.29000000238418
85.0,17.0,863.2900000023842,335.2900000023842
86.0,28.0,873.2699999916554,522.1399999964237
87.0,12.0,883.1600000071526,250.00999999932944
88.0,30.0,893.1500000017882,556.1500000017882
89.0,9.0,903.280000011921,199.03000000074505
90.0,34.0,913.23,624.1200000005961
91.0,13.0,923.0599999982119,267.089999999404
92.0,1.0,933.0300000007451,63.26000000119209
93.0,24.0,943.3699999856949,454.08000000149013
94.0,12.0,953.1500000017882,250.1399999964237
95.0,4.0,963.2999999928475,114.0399999986589
96.0,6.0,972.9899999997765,148.15000000178813
97.0,26.0,983.019999999106,488.25000001072885
98.0,37.0,993.0099999993295,675.1200000005961
99.0,4.0,1003.3299999940396,114.21999999463559
100.0,38.0,1013.0599999982119,692.3699999856949
